Platform ID No.,Platform,Prg No.,Pass dur. (s),Msg Date,Sat.,Alarm,Format name,Loc. date,Longitude,Latitude,Altitude,Heading,Speed,Loc. quality,Frequency,Long. 1,Lat. sol. 1,Long. 2,Lat. sol. 2,Loc. idx,Nopc,Comp.,Msg,> - 120 DB,Best level,Delta freq.,Error radius,Semi-major axis,Semi-minor axis,Ellipse orientation,GDOP,SENSOR 01,SENSOR 02,SENSOR 03,SENSOR 04,SENSOR 05,SENSOR 06,SENSOR 07
34407,,6298,238,20-08-2017 07:38:50,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:37:47,27.64746,44.6083,0.046,,,2,401663981.12,27.64746,44.6083,27.64746,44.6083,56,3,1,5,0,-126,663981.1,432,2411,77,103,946,00,01,20,21,CC,C6,16
34403,,6298,480,20-08-2017 07:38:55,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:40:54,27.64805,44.60784,0.062,,,2,401663645.70,27.64805,44.60784,27.64805,44.60784,56,3,1,6,0,-125,663645.7,306,410,227,6,368,00,01,91,90,D1,F0,7E
34400,,6298,538,20-08-2017 07:39:05,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:54,27.6577,44.60591,0.063,,,1,401663757.83,27.6577,44.60591,27.6577,44.60591,46,3,1,7,0,-124,663757.8,593,697,504,90,240,00,01,35,34,89,1A,EA
34418,,6298,421,20-08-2017 07:39:24,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:48,27.6436,44.60911,0.046,,,3,401664034.75,27.6436,44.60911,27.6436,44.60911,56,3,1,6,0,-124,664034.8,237,320,174,121,295,01,3C,0A,37,83,B5,D8
34407,,6298,238,20-08-2017 07:39:44,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:37:47,27.64746,44.6083,0.046,,,2,401663981.12,27.64746,44.6083,27.64746,44.6083,56,3,1,5,0,-126,663981.1,432,2411,77,103,946,01,3B,AB,91,93,22,B1
34418,,6298,421,20-08-2017 07:40:30,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:48,27.6436,44.60911,0.046,,,3,401664034.75,27.6436,44.60911,27.6436,44.60911,56,3,1,6,0,-124,664034.8,237,320,174,121,295,02,C5,1F,D0,DA,AD,86
34400,,6298,538,20-08-2017 07:41:01,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:54,27.6577,44.60591,0.063,,,1,401663757.83,27.6577,44.60591,27.6577,44.60591,46,3,1,7,0,-124,663757.8,593,697,504,90,240,02,C8,17,DD,FC,97,7A
34418,,6298,421,20-08-2017 07:41:30,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:48,27.6436,44.60911,0.046,,,3,401664034.75,27.6436,44.60911,27.6436,44.60911,56,3,1,6,0,-124,664034.8,237,320,174,121,295,03,09,53,59,B2,2E,3B
34403,,6298,480,20-08-2017 07:41:55,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:40:54,27.64805,44.60784,0.062,,,2,401663645.70,27.64805,44.60784,27.64805,44.60784,56,3,1,6,0,-125,663645.7,306,410,227,6,368,03,08,82,A9,F4,7B,F4
34400,,6298,538,20-08-2017 07:42:05,NN,N,FORMAT TEMPL. 31X8-A2-HEXA #1,20-08-2017 07:39:54,27.6577,44.60591,0.063,,,1,401663757.83,27.6577,44.60591,27.6577,44.60591,46,3,1,7,0,-124,663757.8,593,697,504,90,240,03,09,57,5D,C9,26,8B
